[2026-03-26T04:43:52.442Z] GET http://localhost:1420/node_modules/.vite/deps/@base-ui_react_separator.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.456Z] GET http://localhost:1420/node_modules/.vite/deps/@base-ui_react_checkbox.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.489Z] GET http://localhost:1420/node_modules/.vite/deps/@base-ui_react_merge-props.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.489Z] GET http://localhost:1420/node_modules/.vite/deps/@base-ui_react_use-render.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.500Z] GET http://localhost:1420/node_modules/.vite/deps/@base-ui_react_menu.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.502Z] GET http://localhost:1420/node_modules/.vite/deps/merge-props-Ds6n4FlT.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.503Z] GET http://localhost:1420/node_modules/.vite/deps/useOnMount-DiWTpIH1.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.548Z] GET http://localhost:1420/node_modules/.vite/deps/owner-DnZjf4VX.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.548Z] GET http://localhost:1420/node_modules/.vite/deps/DirectionContext-YjItX9Bi.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.548Z] GET http://localhost:1420/node_modules/.vite/deps/getCssDimensions-DXHS9Zp0.js?v=ed96a2ad → pending (?ms, ?B)
[2026-03-26T04:43:52.559Z] GET http://localhost:1420/node_modules/.vite/deps/visuallyHidden-1jFGRBjG.js?v=ed96a2ad → 200 (53ms, 507B)
[2026-03-26T04:43:52.578Z] GET http://localhost:1420/node_modules/.vite/deps/useControlled--28Ce2Cz.js?v=ed96a2ad → 200 (81ms, 1847B)
[2026-03-26T04:43:52.578Z] GET http://localhost:1420/node_modules/.vite/deps/LabelableContext-zDPqBAc9.js?v=ed96a2ad → 200 (77ms, 6784B)
[2026-03-26T04:43:52.578Z] GET http://localhost:1420/node_modules/.vite/deps/composite-BRJVDean.js?v=ed96a2ad → 200 (80ms, 14688B)
[2026-03-26T04:43:52.595Z] GET http://localhost:1420/node_modules/.vite/deps/useCompositeItem-CSsB4d_u.js?v=ed96a2ad → 200 (62ms, 8113B)
[2026-03-26T04:43:52.596Z] GET http://localhost:1420/node_modules/.vite/deps/CSPContext-CK-2Y_LV.js?v=ed96a2ad → 200 (90ms, 645B)
[2026-03-26T04:43:52.599Z] GET http://localhost:1420/node_modules/.vite/deps/useOpenInteractionType-CIxtH5KC.js?v=ed96a2ad → 200 (87ms, 44005B)
